filename	description	h_length	h_bang	h_curl	e_shape	f_shape	sex	nose	e_size	m_size
150.png	"She is a middle-aged white woman. Her hair is brown, and it's long and slightly curly. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has black eyes. She doesn't wear glasses. Her head direction is toward the right."	3.0	0.0	1.0	2.0	1.0	0.0	0.0	29.0	33
151.png	"He is a middle-aged Asian man. His hair is black, and it's curly. He doesn't have bangs. He is grinning. He has no bread, and has a round face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. His eyes are black. He doesn't wear glasses. His head direction is toward the right."	2.0	0.0	2.0	2.0	1.0	1.0	0.0	24.5	40
152.png	"He is a middle-aged white man. He has grayish, light brown straight hair. He doesn't have bangs. He is smiling. He has no beard, and has a long face. He has wrinkles around the eyes, smile lines and forehead. He has double eyelids and thick eyebrows. He has gray eyes. He wears black and square horn-rimmed glasses. His head is facing the front."	1.0	0.0	0.0	3.0	0.0	1.0	0.0	23.0	28
153.png	"He is a white young man. His hair is brown, and it's curly. He doesn't have bangs. He is grinning. He has no beard, and has a round face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. He has blue eyes. He doesn't wear glasses. His head is facing the front."	1.0	0.0	2.0	2.0	1.0	1.0	0.0	28.75	39
154.png	"He is a middle-aged white man. He has grayish brown hair, and it's slightly curly. He doesn't have bangs. He is not smiling. He has no beard, and has a round face. He has wrinkles around the eyes, smile lines and forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head direction is toward the left."	1.0	0.0	1.0	2.0	1.0	1.0	0.0	34.5	31
155.png	"He is a middle-aged Asian man. He has grayish, black hair, and it's slightly curly. He doesn't have bangs. He is smiling. He has no beard, and has a round face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. he has black eyes. He wears square silver-rimmed glasses. His head direction is toward the right."	1.0	0.0	1.0	3.0	1.0	1.0	0.0	21.25	43
156.png	"She is a white young woman. She has brown straight long hair. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has gray eyes. She doesn't wear glasses. Her head direction is toward the left."	3.0	0.0	0.0	2.0	1.0	0.0	0.0	27.5	36
157.png	"She is an Asian young woman. She has brown straight long hair. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head direction is toward the right."	3.0	0.0	0.0	2.0	1.0	0.0	0.0	29.5	39
158.png	"He is a middle-aged white man with copper-colored skin. He has black hair, and it's slightly curly. He doesn't have bangs. He is not smiling. He has very short beard, and has a round face. He has wrinkles around the eyes, smile lines and forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head direction is slightly toward the right."	1.0	0.0	1.0	1.0	1.0	1.0	0.0	29.75	34
159.png	"He is a white young man. His hair is dark brown, and it's slightly curly. He doesn't have bangs. He is grinning. He has no beard, and has a round face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head is facing the front."	1.0	0.0	1.0	2.0	1.0	1.0	0.0	29.25	39
160.png	"He is a white young man. His hair is light brown, and it's curly. He doesn't have bangs. He is smiling. He has no beard, and has a round and long face. He has wrinkles around the eyes and smile lines and forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head is facing the front."	1.0	0.0	2.0	2.0	0.0	1.0	0.0	32.0	36
161.png	"She is a white young woman. She has dark brown short hair, and it's slightly curly. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes, but has no wrinkles around smile lines and on the forehead. She has double eyelids and thick eyebrows. She has brown eyes. She doesn't wear glasses. Her head is facing the front."	1.0	0.0	1.0	2.0	1.0	0.0	0.0	34.0	33
162.png	"He is an Asian boy. He has straight short hair, and it’s black. He has bangs. He is smiling. He has no beard, and has a round face. He has no wrinkles. He has dimples. He doesn't have double eyelids and has thin eyebrows. His eyes are black. He doesn't wear glasses. His head direction is slightly toward the left."	1.0	2.0	0.0	0.0	1.0	1.0	0.0	26.25	51
163.png	"She is a white little girl. She has light brown short hair, and it's curly. She doesn't have bangs. She is slightly smiling. She has no beard, and has a round face. She doesn't have wrinkles. She has double eyelids and thin eyebrows. She has dark brown eyes. She doesn't wear glasses. Her head is facing the front."	2.0	0.0	2.0	2.0	1.0	0.0	0.0	42.0	27
164.png	"She is a middle-aged white woman. She has blonde straight long hair. She has bangs. She is slightly smiling. She has no beard, and has a round face. She has wrinkles around the eyes, smile lines and on the forehead. She has double eyelids and thin eyebrows. Her eyes are black. She wears wrap-around glasses. Her head direction is toward the left."	3.0	1.0	1.0	3.0	1.0	0.0	0.0	20.25	36
165.png	"She is a white young woman. She has dark brown short hair, and it's slightly curly. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head direction is toward the right."	2.0	0.0	1.0	2.0	1.0	0.0	0.0	25.75	38
166.png	"She is a white young woman. She has long straight brown hair. She doesn't have bangs. She is grinning. She has no beard, and has a long face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head is facing the front."	3.0	0.0	0.0	2.0	0.0	0.0	0.0	27.5	40
167.png	"He is a white young man. He has short brown hair. He doesn't have bangs. He is slightly smiling. He has no beard, and has a sharp face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head direction is toward the left."	1.0	0.0	1.0	1.0	3.0	1.0	0.0	28.75	46
168.png	"He is a white old man. He is slightly bald. His hair color, which is just around the corner, is white. Obviously, he doesn't have bangs. He is grinning. He has no beard, and has a round face. He has wrinkles around the eyes, smile lines and on the forehead. He has double eyelids and thick eyebrows. He has grayish brown eyes. He doesn't wear glasses. His head direction is toward the right."	0.0	0.0	0.0	2.0	1.0	1.0	0.0	29.5	37
169.png	"She is a white girl. She has light grayish brown hair, and it's short and straight. She has short bangs. She is grinning. She has no beard, and has a round face. She doesn't have wrinkles. She has double eyelids and thin eyebrows. She has light blue eyes. She doesn't wear glasses. Her head direction is toward the left."	1.0	1.0	0.0	1.0	1.0	0.0	0.0	34.75	31
170.png	"She is a white young woman. She has brown straight hair, and it's long. She has no bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head is facing the front."	3.0	0.0	0.0	2.0	1.0	0.0	0.0	23.25	34
171.png	"She is a young Indian woman. She has short black hair, and it's very curly. She has no bangs. She is slightly smiling. She has no beard, and has a round face. She has wrinkles around the smile lines, but has no wrinkles around the eyes and on the forehead. She has double eyelids and thin eyebrows. She has black eyes. She doesn't wear glasses. Her head direction is toward the right."	2.0	0.0	2.0	1.0	0.0	0.0	0.0	37.0	44
172.png	"She is a middle-aged Indian woman. She has long black hair, and it's straight. She has no bangs. She is smiling. She has no beard, and has a round face. She has wrinkles around the eyes and the smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has black eyes. She doesn't wear glasses. Her head direction is toward the left."	3.0	0.0	0.0	2.0	1.0	0.0	0.0	35.75	45
173.png	"She is a white young woman. She has short brown hair, and it's straight. She has no bangs. She is slightly smiling. She has no beard, and has a round face. She has wrinkles around the smile lines, but has no wrinkles around eyes and on the forehead. She has double eyelids and thick eyebrows. She has brown eyes. She doesn't wear glasses. Her head direction is toward the right."	1.0	0.0	0.0	2.0	1.0	0.0	0.0	34.5	38
174.png	"He is a white old man. He has gray short hair, and it's straight. He has no bangs. He is slightly smiling. He has no beard, and has a round and long face. He has wrinkles around the eyes and smile lines and on the forehead. He has double eyelids and thick eyebrows. He has dark brown eyes. He doesn't wear glasses. His head is facing the front."	1.0	0.0	0.0	2.0	0.0	1.0	0.0	28.5	28
175.png	"She is a middle-aged white woman. Her hair is brown, and it's short and slightly curly. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head direction is toward the right."	1.0	0.0	1.0	2.0	1.0	0.0	0.0	31.75	35
176.png	"She is a middle-aged white woman. Her hair is light brown, and it's short and slightly curly. She has bangs. She is grinning. She has no beard, and has a square-shaped face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thick eyebrows. She has dark gray eyes. She wears black square wire rim glasses. Her head direction is slightly toward the left."	2.0	2.0	1.0	3.0	2.0	0.0	0.0	17.75	30
177.png	"She is a middle-aged white woman. Her hair is dark brown, and it's straight and short. She doesn't have bangs. She is grinning. She has no beard, and has long round face. She has wrinkles around the eyes and smile lines and on the forehead. She has double eyelids and thick eyebrows. She has brown eyes. She doesn't wear glasses. Her head is facing the front."	1.0	0.0	0.0	2.0	0.0	0.0	0.0	31.0	45
178.png	"She is a middle-aged white woman. Her hair is dark brown, and it's slightly curly and long. She doesn't have bangs. She is grinning. She has no beard, and has long round face. She has wrinkles around the eyes and smile lines and has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head direction is slightly toward the right."	3.0	0.0	1.0	2.0	0.0	0.0	0.0	34.75	39
179.png	"He is a white old man. He has light grayish brown short hair, and it's slightly curly. He has short bangs. He is grinning. He has no beard, and has long face. He has wrinkles around the eyes and smile lines and on the forehead. He has double eyelids and thick eyebrows. He has gray eyes. He doesn't wear glasses. His head direction is slightly toward the left."	1.0	1.0	1.0	1.0	0.0	1.0	0.0	31.25	32
180.png	"He is an Indian boy. He has dark brown short hair, and it's slightly curly. He has short bangs. He is not smiling. He has no beard, and has angled face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. He has dark brown eyes. He doesn't wear glasses. His head direction is toward the left."	1.0	2.0	1.0	1.0	2.0	1.0	0.0	33.25	40
181.png	"She is a white young woman. She has brown long hair, and it's straight. She has no bangs. She is smiling. She has no beard, and has a round face. She has wrinkles around the eyes, but has no wrinkles around the smile lines and on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head is facing the front."	3.0	0.0	0.0	0.0	1.0	0.0	0.0	33.25	43
182.png	"She is a white girl. She has brown short hair, and it's straight. She has no bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the smile lines, but has no wrinkles around the eyes and forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head direction is slightly toward the left."	2.0	0.0	0.0	1.0	1.0	0.0	0.0	24.75	39
183.png	"He is a middle-aged white man. He has dark brown straight hair, and it's short. He doesn't have bangs. He is grinning. He has no beard, and has an angled face. He has wrinkles around the eyes and smile lines, but no wrinkles on the forehead. He has double eyelids and thick eyebrows. He has dark brown eyes. He wears black and square horn-rimmed glasses. His head direction is slightly toward the left."	1.0	0.0	0.0	2.0	1.0	0.0	0.0	22.25	38
184.png	"She is an Asian girl. She has brown long hair, and it's straight. She has no bangs. She is grinning. She has no beard, and has a round face. She has no wrinkles. She has double eyelids and thin eyebrows. She has brown eyes. And she has fat under her eyes. She doesn't wear glasses. Her head direction is toward the right."	3.0	0.0	0.0	1.0	1.0	0.0	0.0	25.25	32
185.png	"He is a white young man. He has brown short hair, and it's slightly curly. He has no bangs. He is smiling. He has a short beard. He has thin face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. He has dark brown eyes. He doesn't wear glasses. His head direction is toward the left."	1.0	2.0	1.0	2.0	3.0	1.0	0.0	29.5	40
186.png	"He is a middle-aged white man. He has short straight hair, and it's mostly white and sparsely dark brown. He doesn't have bangs. He is not smiling. He has no beard, and has an angled face. He has wrinkles around the eyes and smile lines and on the forehead. He has double eyelids and thick eyebrows. He has dark brown eyes. He doesn't wear glasses. His head direction is toward the left."	1.0	0.0	0.0	1.0	2.0	1.0	0.0	29.5	37
187.png	"She is a middle-aged Indian woman. She has long straight hair, and it's dark brown. She doesn't have bangs. She is grinning. She has no beard, and has a long round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has dark brown eyes. She doesn't wear glasses. Her head is facing the front."	3.0	0.0	0.0	1.0	0.0	0.0	0.0	31.0	43
188.png	"He is a white young man. He has brown short hair, and it's slightly curly. He has long bangs. He is not smiling. He has a short beard. He has long face. He has wrinkles around the eyes, but has no wrinkles around the smile lines and on the forehead. He has double eyelids and thick eyebrows. He has dark blue eyes. He doesn't wear glasses. His head direction is slightly toward the right."	1.0	2.0	1.0	1.0	0.0	1.0	0.0	31.5	48
189.png	"He is a white young man. He has brown short hair, and it's curly. He has short bangs. He is grinning. He has no beard. He has long and thin face. He has wrinkles around the smile lines, but has no wrinkles around the eyes and on the forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head direction is toward the right."	1.0	2.0	2.0	2.0	0.0	1.0	0.0	30.0	41
190.png	"She is an Asian young woman. She has dark brown hair, and it's long and straight. She has side bangs. She is smiling. She has no beard, and has a round face. She has no wrinkles. She has double eyelids and thin eyebrows. She has dark brown eyes. And she has fat under her eyes. She doesn't wear glasses. Her head direction is toward the right."	3.0	1.0	0.0	0.0	1.0	0.0	0.0	35.75	50
191.png	"He is a white old man. He has silver short hair, and it's straight. He has no bangs. He is not smiling. He has no beard. He has a round face. He has wrinkles around the eyes and smile lines and on the forehead. He has double eyelids and thick eyebrows. He has dark brown eyes. He doesn't wear glasses. His head is facing the front."	1.0	0.0	0.0	2.0	1.0	1.0	0.0	30.25	35
192.png	"She is an Asian young woman. She has black short hair, and it's straight. She has no bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the smile lines, but no wrinkles around the eyes and forehead. She has double eyelids and thin eyebrows. She has dark brown eyes. She doesn't wear glasses. Her head direction is toward the right."	2.0	0.0	0.0	2.0	1.0	0.0	0.0	34.0	45
193.png	"He is a white young man. He has black short hair, and it's straight. He has bangs. He is smiling. He has no beard. He has an angled face. He has wrinkles around the smile lines, but no wrinkles around the eyes and forehead. He has double eyelids and thick eyebrows. He has dark brown eyes. He doesn't wear glasses. His head direction is toward the right."	2.0	2.0	0.0	1.0	2.0	1.0	0.0	32.25	37
194.png	"He is a white young man. He has dark brown short hair, and it's slightly curly. He has no bangs. He is smiling. He has short beard. He has a long and round face. He has wrinkles around the eyes, but no wrinkles around the smile lines and forehead. He has double eyelids and thick eyebrows. He has brown eyes. He wear square thin frame glasses. His head direction is toward the left."	1.0	0.0	1.0	3.0	0.0	1.0	0.0	27.75	36
195.png	"She is a middle-aged white woman. Her hair is dark brown, and it's straight and long. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines and on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head is facing the front."	3.0	0.0	0.0	2.0	1.0	0.0	0.0	32.5	29
196.png	"She is a middle-aged white woman. Her hair is dark brown, and it's slightly curly and short. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines and on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head direction is toward the left."	1.0	0.0	1.0	2.0	1.0	0.0	0.0	24.0	37
197.png	"She is a middle-aged white woman. Her hair is brown, and it's straight and short. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes, but no wrinkles around the smile lines and on the forehead. She has double eyelids and thick eyebrows. She has brown eyes. She doesn't wear glasses. Her head is facing the front."	2.0	0.0	0.0	2.0	1.0	0.0	0.0	27.25	38
198.png	"She is a middle-aged Asian woman. Her hair is black, and it's straight and short. She has side bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has black eyes. She wears black and square horn-rimmed glasses. Her head direction is toward the right."	2.0	1.0	0.0	3.0	1.0	0.0	0.0	27.0	42
199.png	"She is a middle-aged white woman. Her hair is dark brown, and it's slightly curly, long and tied up. She has side bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes, but no wrinkles around smile lines and on the forehead. She has double eyelids and thin eyebrows. She has gray eyes. She doesn't wear glasses. Her head direction is toward the left."	3.0	1.0	1.0	2.0	1.0	0.0	0.0	29.75	35
200.png	"She is middle-aged Asian woman. Her hair is dark brown, and it's curly. She doesn't have bangs. She has grin smile. She has no bread, and has a round face. She has eye wrinkle and smile lines. She has double eyelids, dark eyebrows and brown eye color. She doesn't wear glasses. Her head direction is toward the left."	3.0	0.0	2.0	2.0	1.0	0.0	0.0	32.5	34
201.png	"She is youth Asian woman. Her hair is dark brown, and doesn't have curly. She doesn’t have bangs. She has no smile. She has no bread, and has a round face. She doesn't have wrinkle. She has double eyelids, pale and dark eyebrows and black eye color. She doesn’t wear glasses. Her head direction is forward."	3.0	0.0	0.0	2.0	1.0	0.0	0.0	31.25	46
